State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	0.73229	0.73394	0.73447	0.73726	0.74175	0.74367	0.74454	0.74742	0.75170	0.75829	0.76771	0.77814	0.78787	0.79677	0.80654	0.81448	0.82172	0.82901	0.83560	0.83913	0.84524
2	1.13799	1.14136	1.14539	1.13799	1.12051	1.12454	1.12992	1.15952	1.18306	1.19651	1.20122	1.19046	1.18238	1.17566	1.17095	1.15615	1.15615	1.16624	1.16624	1.17095	1.16423
3	2.14686	1.95460	1.95460	2.37116	2.27503	2.81975	2.65954	2.08277	2.24299	1.98664	1.57009	1.31375	1.57009	1.44192	1.31375	1.53805	1.44192	1.02537	0.92924	1.47396	1.47396
4	3.43558	3.35809	3.18243	3.01711	3.01711	2.99645	3.17727	3.13077	2.80013	2.60381	2.39716	2.55731	2.48498	2.52631	2.54181	2.64514	2.55731	2.44365	2.58831	2.57798	2.72780
5	4.22393	4.27150	4.20491	4.10026	3.99085	3.81961	3.62935	3.44384	3.36773	3.27735	3.13465	2.92536	2.92536	2.90633	2.96817	2.96341	2.99671	2.94914	2.84449	2.90633	2.86828
6	1.15586	1.12898	1.15202	1.20194	1.17122	1.25954	1.36322	1.44770	1.56290	1.59746	1.53986	1.49762	1.41314	1.35170	1.45538	1.38626	1.42466	1.50914	1.45154	1.35170	1.36322
7	1.28095	1.31427	1.36424	1.39571	1.41052	1.38831	1.53084	1.57527	1.56971	1.61044	1.68633	1.66782	1.66227	1.63635	1.56046	1.54010	1.56601	1.54935	1.56786	1.61044	1.56601
8	2.17589	2.03334	1.96626	1.97465	1.94111	2.05430	2.00819	2.01238	2.06269	2.02076	1.98303	1.93272	1.69795	1.60990	1.52186	1.53025	1.45478	1.50509	1.52186	1.56798	1.51767
9	1.28485	1.27218	1.27534	1.24470	1.22040	1.20032	1.16440	1.12953	1.11157	1.07881	1.03126	1.02493	1.03232	1.01330	0.99851	0.98583	0.99006	0.99006	0.96575	0.97526	0.98583
10	3.07105	3.07260	3.07777	3.07001	3.05967	3.03587	2.99604	2.96604	2.92466	2.87500	2.81707	2.73275	2.66499	2.60033	2.50722	2.43118	2.34687	2.26307	2.19582	2.12703	2.06081
