State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	0.78151	0.77320	0.75664	0.73326	0.69379	0.63707	0.56845	0.48970	0.42647	0.39725	0.38608	0.38373	0.39690	0.41631	0.44218	0.47295	0.50068	0.52428	0.54269	0.55717	0.56972
2	2.40724	2.38646	2.36984	2.32116	2.26714	2.16384	1.98990	1.74176	1.50252	1.33570	1.25675	1.24250	1.32027	1.49124	1.65331	1.79578	1.91867	1.99703	2.02730	2.03561	2.03265
3	3.50702	4.44034	5.14740	5.93931	6.92919	8.99381	10.71904	12.24629	12.18972	10.71904	8.56957	9.95541	12.16144	13.40587	13.09476	12.13316	10.71904	9.27663	8.00393	6.50496	5.14740
4	3.49297	4.03561	5.09810	6.90387	9.95908	14.27285	19.12927	23.94009	26.98162	34.61509	40.09167	25.54065	21.09464	17.66551	15.00702	12.22997	9.11091	6.52082	4.86098	3.71641	2.99137
5	5.63436	6.67978	8.33818	10.36185	13.77101	18.47331	24.48553	32.05119	39.69242	38.79394	36.80806	50.78900	52.45159	51.09129	46.38899	38.18516	29.20882	22.21835	17.07941	13.23780	10.57597
6	1.66082	1.80995	1.87096	1.91502	2.17940	2.35565	2.70137	2.71153	2.53867	1.84723	1.38288	1.25070	1.05411	1.01344	1.08800	1.09478	1.05750	0.97954	1.05072	1.03716	0.97615
7	1.69594	1.72535	1.83155	1.99003	1.95899	1.93448	1.70084	1.47537	1.10448	0.95580	0.78588	0.68132	0.66008	0.72216	0.79569	0.97704	1.24336	1.36917	1.31688	1.34629	1.28094
8	4.58118	4.70330	4.74770	4.79951	4.31845	3.38223	2.28319	1.69111	1.43208	1.25816	1.31737	1.26186	1.42838	1.94275	4.11122	8.20764	12.26335	14.28011	14.65756	14.43923	13.46971
9	1.61904	1.50992	1.32806	1.12568	0.90465	0.72465	0.64258	0.58849	0.56051	0.55398	0.55118	0.55398	0.58103	0.62486	0.70413	0.94568	1.46796	2.16743	2.88835	3.47311	4.01683
10	0.68577	0.62733	0.58395	0.52734	0.48488	0.44698	0.42096	0.37758	0.34928	0.34060	0.34014	0.34562	0.35704	0.36982	0.38398	0.42004	0.48259	0.56934	0.67892	0.79169	0.90903
