State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	79.69329	0.26547	0.65187	0.82649	0.76770	0.38609	0.58512	1.13408
2	5.16941	2.12895	1.01025	0.81422	1.20134	1.25679	1.96749	1.03052
3	0.10851	20.77212	2.94218	0.79240	1.57025	8.56984	8.89804	0.52965
4	0.67298	43.27969	5.48489	1.06183	2.39741	40.09290	14.14819	0.47092
5	0.73093	43.84282	7.39361	1.82534	3.13498	36.80499	23.43677	0.21337
6	0.90541	0.35693	1.27438	1.30136	1.54002	1.38293	1.65199	0.43369
7	1.87826	0.19871	1.36698	1.28554	1.68651	0.78591	1.32952	0.53281
8	0.82930	0.50656	1.83339	2.26867	1.98324	1.31741	4.97929	0.12704
9	3.29049	0.51378	1.39164	2.28903	1.03032	0.55120	1.20566	0.13002
10	6.72143	0.23881	3.51004	2.19954	2.81736	0.34016	0.51951	0.27333
Base	100	0.6832847744	2.4487802305	42.0774209923	0.0009290009	0.0010525920	3.4107529258	36.8568410921
