State (Emission order)	H2az	H3k4me3	H3k9ac	H3k27ac	H3k4me2	H3k4me1	H3k79me2	H3k36me3	H3k9me1	H3k27me3
1	0.002166565450783496	9.82068865546005E-5	1.4335586189978967E-4	0.0012845005522273496	1.7372089635186286E-4	5.896264303745609E-4	1.9196332933870002E-4	0.0010216125937042124	0.0014195898088475356	0.003722453734964649
2	0.0045454936752270065	8.00599840522542E-5	3.136290720457462E-4	0.001340928771279755	6.719100883770717E-4	0.001967087412139723	5.838309872480483E-5	3.7832687789038616E-4	0.002746957388606547	0.3597096930086425
3	0.39489262121030155	0.39348278302020945	0.06961916065222618	0.05661581031184518	0.44987545079519436	0.27546042522556413	0.025604390488381215	0.344062330064412	0.18825528241070225	0.8157961538751048
4	0.7334928039504327	0.2459048756226961	0.08422096332637775	0.018500399028754763	0.32334031150920567	0.18223313867340196	0.0142028143329399	3.5082314925511716E-4	7.787754954212448E-4	0.011926254748289554
5	0.6513885431834473	0.9895767746365192	0.9373223329544573	0.6925101818473389	0.8243178464444813	0.3455941874843765	0.5767007958122014	0.016968481357807135	0.0013823973250853237	0.002094061397805027
6	0.4313998863962414	0.19525810481144534	0.5894034967559064	0.9321182684460485	0.8544849943143672	0.9666552511034768	0.029491772285116232	0.011257825392986325	0.005324593739508018	1.7932991562356036E-4
7	0.13710714348241668	9.162501368331869E-4	0.0125182525511406	0.18536302892716955	0.1932050627481399	0.7597857784358355	0.01145893636540677	0.018691018293906743	0.007116121280366745	0.001854390190031066
8	0.022951061367754926	0.1486597313056215	0.13621048808230257	0.35322588595512233	0.5290945260759602	0.877567384740293	0.871040133023327	0.14928256440692916	0.02666399033557714	1.8327797403940732E-4
9	0.0011977741224687684	2.3077315039544505E-4	0.001344784024166596	0.013621966994164458	0.005311251522591319	0.038820672433700375	0.6946685918195992	0.1116931851641862	0.01422192376076261	1.5309434077959738E-4
10	6.018947387516498E-4	3.4375916113684504E-4	8.960348221063194E-4	0.008862313672677636	5.235967430980925E-4	0.004784781954093926	0.041080079190782284	0.19267653016598987	0.006840787169009069	6.995139185240944E-4
